netId,name,year,major,minor,taggedPref,prefTimeComm
mloga69,Diana Martin,2,Music,Music,Media,10+ hours
ahall80,Mary Mendoza,1,Communications,Business,Social,3-5 hours
aweek47,Kenneth Hall,3,Computer Science,Philosophy,Professional,3-5 hours
jlee56,Christopher Bennett,2,Political Science,Anthropology,Professional,1-3 hours
apace12,Teresa Phillips,4,Art,Environmental Studies,Social,5-10 hours
dmcin66,Mitchell Pena,4,Business,Music,Professional,10+ hours
rhunt85,Nathan Murray,3,English,Environmental Studies,Professional,5-10 hours
jpric10,Jonathan Brock,2,Business,Statistics,Academic,1-3 hours
hholl46,Shane Powers,2,Art,Spanish,Professional,10+ hours
ecruz16,Jeremy Chaney,2,Music,Anthropology,Media,3-5 hours
srami98,Thomas Guzman,4,Mathematics,Statistics,Media,5-10 hours
kschr88,Kimberly Estrada,3,Business,Business,Social,5-10 hours
jphil86,Norman Miller,2,Political Science,Business,Cultural,1-3 hours
tstou19,Desiree Haney,4,Communications,Statistics,Academic,3-5 hours
jjose51,Benjamin Johnson,4,Computer Science,Journalism,Arts,10+ hours
rpete53,Richard Ray,3,Psychology,Journalism,Technical,10+ hours
pbrow80,David Alvarez,2,Political Science,Art History,Arts,10+ hours
cwill29,Nicole Pearson,3,Communications,Linguistics,Professional,1-3 hours
dgree93,Brian Ward,1,Communications,Statistics,Social,5-10 hours
jgran33,Courtney Douglas,1,History,Music,Professional,1-3 hours
aherr60,Richard Chen,2,History,Business,Academic,10+ hours
clin51,Bradley Young,3,History,Spanish,Academic,1-3 hours
hgord50,Zachary Walker,2,Economics,Data Science,Arts,1-3 hours
rdono40,Zachary Harrison,4,Mathematics,Neuroscience,Media,1-3 hours
knels4,Veronica Dixon,3,Biology,Business,Social,5-10 hours
bolse90,Joshua Carroll,3,Art,Statistics,Professional,5-10 hours
jwash66,Sandy Smith,4,Business,Women's Studies,Academic,10+ hours
jhoga70,Daniel Coleman,2,Music,Data Science,Technical,1-3 hours
aloga31,Adam Parker,1,Physics,Data Science,Media,10+ hours
ajone53,Lisa Scott DDS,3,Physics,Journalism,Media,5-10 hours
chugh63,Michael Anderson,2,Business,Data Science,Media,1-3 hours
dthom82,Joshua Brown,3,History,Statistics,Academic,3-5 hours
rmorg89,Emily Miller,2,Psychology,Environmental Studies,Cultural,10+ hours
sprin76,Heather Daniels,3,Mathematics,Statistics,Arts,1-3 hours
phigg97,Lisa White,4,Communications,Data Science,Academic,10+ hours
mjone36,Julie Blair,3,Communications,Art History,Academic,10+ hours
eande63,Kenneth Miller,1,Music,Journalism,Professional,10+ hours
kmedi97,Casey Fisher,3,Computer Science,Neuroscience,Arts,1-3 hours
pshep30,William Jackson,4,Political Science,Spanish,Arts,10+ hours
jknap44,Elizabeth Mitchell,4,Art,Linguistics,Arts,3-5 hours
bmitc5,Diane Mack,2,Communications,Data Science,Professional,1-3 hours
kvega48,Jennifer Wagner,3,Biology,Spanish,Academic,1-3 hours
mgilb44,Tina Hodge,3,Biology,Spanish,Cultural,1-3 hours
amay56,Anne Hernandez,1,Mathematics,Spanish,Media,3-5 hours
amurr56,David Johnson,3,Psychology,Anthropology,Technical,1-3 hours
wbarr92,Brandon Lawson,4,English,Business,Technical,5-10 hours
asloa93,Thomas Sims,4,Music,Spanish,Media,1-3 hours
choga42,Julian Ewing,1,Music,Environmental Studies,Cultural,1-3 hours
tmitc99,Kenneth Hodges,3,Economics,Journalism,Media,5-10 hours
rrich89,Jason Lee,1,History,Linguistics,Professional,5-10 hours
dpark68,Lisa Richard,1,Biology,Neuroscience,Academic,10+ hours
tstan39,Jonathan Mercer,4,Psychology,Data Science,Technical,10+ hours
mgent55,Curtis Weber,3,Engineering,Environmental Studies,Technical,3-5 hours
kmart20,Jesse Ortiz,4,Business,Linguistics,Professional,3-5 hours
amcph16,Justin Cross,3,English,Theatre,Cultural,3-5 hours
ltayl87,Laura Lang,3,Physics,Neuroscience,Media,3-5 hours
aturn28,Justin Gibson,1,Computer Science,Business,Professional,1-3 hours
pmyer27,Troy Coleman,3,Economics,Data Science,Social,3-5 hours
kpaul95,Dr. James Garrett,3,Communications,Statistics,Cultural,1-3 hours
apace69,Becky Jones,2,Biology,Music,Professional,5-10 hours
klee54,Andrea Robinson,1,Psychology,Statistics,Arts,5-10 hours
hthom59,Anita Riddle,4,Chemistry,Environmental Studies,Academic,10+ hours
mflor70,Samantha Warren,3,Physics,Art History,Cultural,3-5 hours
mmeye29,Katelyn Pham,3,Business,Women's Studies,Social,10+ hours
wbake3,Seth Roberts,1,Music,Business,Cultural,5-10 hours
cblac44,Brian Walker,4,History,Theatre,Social,5-10 hours
mrobe46,Leah Moore,1,Art,Philosophy,Academic,5-10 hours
ehawk68,Cristian Cordova,2,Communications,Business,Professional,1-3 hours
bshep62,Nancy Bates,2,Communications,Art History,Technical,5-10 hours
jfros66,Kathleen Smith,1,Economics,Music,Cultural,1-3 hours
hcann84,Caitlin Rivas,1,Computer Science,Sociology,Academic,3-5 hours
lcuev43,Krystal Ross,1,Mathematics,Anthropology,Social,10+ hours
dmart98,Alejandra Webb,4,Business,Neuroscience,Professional,5-10 hours
kponc31,Brett Jones,1,Art,Anthropology,Cultural,10+ hours
kruss55,Candice Phillips,4,Engineering,Business,Social,3-5 hours
lmart85,Roy King,3,Communications,Anthropology,Social,5-10 hours
jboyd25,Mary Crawford,2,Psychology,Sociology,Professional,10+ hours
dhayn9,John Allen,1,Art,Neuroscience,Media,10+ hours
lrobl7,Eric Johnson,2,Engineering,Statistics,Social,1-3 hours
kwals27,Lee Reynolds,3,Physics,Sociology,Arts,10+ hours
cande50,Sharon Perry,1,Music,Spanish,Social,5-10 hours
gcrai1,Holly Mccoy,4,Physics,Neuroscience,Social,5-10 hours
pgibs93,Aaron Smith,4,Art,Environmental Studies,Technical,1-3 hours
pritt2,Justin Johnson,4,Art,Sociology,Arts,1-3 hours
sscot88,Lindsey Brown,2,Chemistry,Journalism,Technical,5-10 hours
nforb60,Derek Brown,1,Political Science,Statistics,Technical,1-3 hours
slyon90,Lisa Sellers,3,Art,Data Science,Academic,5-10 hours
sflor62,Dana Morris,4,Psychology,Journalism,Professional,1-3 hours
dhigg74,Eric Melton,2,Economics,Anthropology,Technical,1-3 hours
kburk22,Justin Gilmore,4,English,Data Science,Social,10+ hours
ecase8,Anthony Young,2,Engineering,Journalism,Professional,5-10 hours
gkent17,Joan Jefferson,4,Chemistry,Philosophy,Media,1-3 hours
kgreg37,Theresa Luna,3,Communications,Data Science,Professional,5-10 hours
nalva50,Jennifer Clark,3,History,Linguistics,Technical,10+ hours
cshan56,Robert Spencer,4,Political Science,Anthropology,Social,1-3 hours
lwolf62,Michael Ross,1,Political Science,Data Science,Technical,1-3 hours
ahuds82,Makayla Wells,2,Chemistry,Statistics,Academic,10+ hours
mstew2,Matthew Powell DDS,4,Engineering,Philosophy,Cultural,3-5 hours
jhard76,John Jensen,3,Business,Data Science,Cultural,10+ hours
rbald25,Scott Whitaker,3,Mathematics,Data Science,Social,10+ hours
mgrah63,Joseph Brooks,2,Biology,Spanish,Technical,3-5 hours
mlee93,Alejandro Price DDS,2,Engineering,Anthropology,Media,3-5 hours
scros55,Stacy Perez,3,Business,Linguistics,Media,1-3 hours
fhoop72,Marie Carney,1,History,Music,Media,1-3 hours
bmoor7,Dr. Kenneth Obrien,1,Physics,Spanish,Media,3-5 hours
jpage79,Derek Hernandez,2,History,Journalism,Professional,10+ hours
egome48,Matthew Winters,3,Communications,Theatre,Professional,5-10 hours
msmit65,Evelyn Garrett,3,Biology,Environmental Studies,Cultural,1-3 hours
prome48,Keith Gonzalez,2,English,Data Science,Arts,3-5 hours
ecole14,James Thompson,1,Music,Linguistics,Cultural,1-3 hours
akent84,John Walton,3,Political Science,Anthropology,Academic,5-10 hours
tjone49,Dawn Jones,4,Physics,Theatre,Cultural,10+ hours
jhall51,Joseph Watts,1,Psychology,Art History,Cultural,10+ hours
cbroo81,Nicholas Little,4,Psychology,Music,Academic,5-10 hours
csmit93,Angela Brown,3,Art,Sociology,Technical,1-3 hours
jstei51,Robert Butler,4,English,Linguistics,Professional,3-5 hours
sagui8,Katelyn Ferrell,3,Music,Theatre,Arts,5-10 hours
plope69,Jaime Rodriguez,3,English,Business,Social,1-3 hours
hmoor60,Sarah Hale,4,Physics,Anthropology,Academic,3-5 hours
msmit85,Edwin Moore,4,Mathematics,Statistics,Media,5-10 hours
awilk83,Eric Villanueva,3,Computer Science,Theatre,Technical,10+ hours
dleon93,Hannah Bridges,3,English,Statistics,Social,5-10 hours
gwest5,Kaitlin Cruz,3,Music,Environmental Studies,Arts,10+ hours
sjone4,Marcus Newman,3,Economics,Neuroscience,Cultural,5-10 hours
sdoyl30,Leslie Adams,4,Engineering,Statistics,Cultural,10+ hours
relli37,Jeffrey Evans,3,Biology,Data Science,Social,10+ hours
chall47,Vickie Curtis,4,Communications,Journalism,Arts,5-10 hours
lbrad47,Nicole Castro,3,Music,Music,Professional,3-5 hours
rorti46,Desiree Miller,4,Biology,Theatre,Social,5-10 hours
jsmit64,Marc Velez,1,English,Data Science,Academic,3-5 hours
sstep89,Tiffany Stanton,4,Computer Science,Environmental Studies,Social,10+ hours
bgonz37,James Bennett,4,Psychology,Linguistics,Social,1-3 hours
kashl12,Emily Griffin,4,Mathematics,Music,Academic,10+ hours
anguy32,Adam Thomas,3,Mathematics,Environmental Studies,Technical,10+ hours
ccrai99,Sarah Dominguez,2,Computer Science,Women's Studies,Social,10+ hours
jchap18,Aaron Garza,2,Computer Science,Spanish,Media,3-5 hours
djone37,Elizabeth Hammond,3,Computer Science,Data Science,Social,5-10 hours
evill80,Nancy Potter,1,Communications,Environmental Studies,Academic,10+ hours
elewi9,Patrick Taylor,4,Engineering,Neuroscience,Arts,5-10 hours
cwarr45,Jason Glass,3,English,Journalism,Technical,5-10 hours
hsmit29,Mary Barker,1,Music,Theatre,Professional,5-10 hours
khess85,Ashley Rojas,2,Economics,Business,Academic,10+ hours
acolo3,Ryan Smith,3,Economics,Philosophy,Academic,5-10 hours
hmill14,Alexis King,4,Engineering,Spanish,Media,3-5 hours
akeit47,Derek Herrera,3,Political Science,Music,Technical,5-10 hours
dcarr54,Glenda Garcia,4,Economics,Linguistics,Media,5-10 hours
sreil28,Tracy Wood,2,Business,Data Science,Cultural,3-5 hours
kbaut80,Andrew Hunter,1,Music,Environmental Studies,Technical,5-10 hours
jwils95,David Carroll,3,Physics,Spanish,Professional,5-10 hours
rblev4,George Hutchinson,2,Computer Science,Spanish,Cultural,10+ hours
kflyn87,Denise Kelley,2,History,Data Science,Technical,10+ hours
tdavi30,Connie Nelson,1,Business,Music,Academic,3-5 hours
adono76,Jessica Porter MD,2,Psychology,Philosophy,Academic,1-3 hours
pclar93,Patrick Hancock,2,Biology,Theatre,Media,10+ hours
jniel55,Michelle Conrad,2,Computer Science,Sociology,Media,5-10 hours
jbrya3,Erica Ramos,4,Physics,Art History,Professional,10+ hours
jdavi97,Nicole Wilson,4,English,Journalism,Media,5-10 hours
lho91,Sandra Hoover,1,Communications,Environmental Studies,Media,3-5 hours
jbrad89,Heather Lawson,1,English,Art History,Media,1-3 hours
tvega52,Valerie Yang,4,Music,Neuroscience,Arts,3-5 hours
schan88,Stefanie Alvarez,2,Chemistry,Business,Cultural,1-3 hours
sjack63,Nicholas Garcia,3,Political Science,Art History,Social,10+ hours
jelli29,Kristy Sims,3,Mathematics,Music,Academic,3-5 hours
jcamp80,Michelle Barrera,4,Engineering,Journalism,Social,10+ hours
treye87,Matthew Moore,4,Computer Science,Spanish,Technical,5-10 hours
lthom4,Deanna Weber,2,Mathematics,Neuroscience,Technical,1-3 hours
mrodr3,Scott Carson,3,Mathematics,Art History,Technical,10+ hours
emccl52,Isaiah Watson,1,Business,Philosophy,Arts,10+ hours
relli17,Tiffany Sanchez DDS,3,English,Anthropology,Media,10+ hours
khuan3,Joyce Nicholson,2,Computer Science,Spanish,Cultural,10+ hours
mcobb86,Peter Nguyen,2,English,Environmental Studies,Professional,1-3 hours
krios89,Shawn Brown,2,Business,Business,Social,5-10 hours
jdani52,Jesse Lynch,3,Mathematics,Sociology,Technical,1-3 hours
cbutl26,Tiffany Terrell,1,English,Neuroscience,Cultural,5-10 hours
mcald76,Barry Dunn,2,Business,Women's Studies,Technical,5-10 hours
lcunn68,Sheila Zimmerman,1,Communications,Theatre,Academic,5-10 hours
aowen18,Barbara Hayes,4,Music,Sociology,Arts,1-3 hours
jzuni59,Kathy Williams PhD,3,Mathematics,Journalism,Media,10+ hours
criva65,Mallory Sanchez,4,Psychology,Philosophy,Academic,3-5 hours
kgill45,Claudia Thompson,4,English,Women's Studies,Media,10+ hours
rreye16,Jack Morgan,1,Political Science,Spanish,Academic,10+ hours
shopk22,Carlos Hurst,4,Biology,Music,Media,5-10 hours
mbeck88,Lisa Molina,4,Music,Anthropology,Arts,5-10 hours
ajohn32,Scott Johnson,2,Computer Science,Anthropology,Technical,10+ hours
eburt62,Krystal Delgado,1,Physics,Business,Media,1-3 hours
mevan16,Dalton Freeman DDS,4,Physics,Business,Cultural,10+ hours
rlynn68,Rebecca Lara,3,Engineering,Spanish,Arts,1-3 hours
lluca80,Rachel Kent,2,Psychology,Anthropology,Professional,1-3 hours
bpott44,Rebecca Perez,4,Psychology,Anthropology,Social,1-3 hours
wmart13,Jessica Smith,3,Business,Philosophy,Professional,5-10 hours
jhoff15,John Rodriguez,2,Music,Neuroscience,Academic,10+ hours
nmile32,Rachel Washington,2,Economics,Art History,Cultural,3-5 hours
mmill52,Clifford Martin,4,Chemistry,Data Science,Technical,1-3 hours
lcole15,David Lyons,2,Biology,Journalism,Cultural,5-10 hours
mburn40,Vanessa Vincent,4,Communications,Spanish,Technical,10+ hours
ldavi98,Cassandra Reynolds,4,Business,Business,Social,3-5 hours
cmill50,Amanda Frazier,2,Physics,Theatre,Media,1-3 hours
asull70,Lisa Thomas,1,Mathematics,Women's Studies,Media,5-10 hours
rbank27,Michael Cox,4,Computer Science,Environmental Studies,Professional,10+ hours
msilv93,Justin Hart,1,Biology,Environmental Studies,Social,3-5 hours
cwill90,Joseph Chase,3,Computer Science,Philosophy,Social,5-10 hours
rmorg82,Martin Garcia,1,Music,Music,Technical,3-5 hours
okrau79,Brittany Murphy,4,Chemistry,Art History,Arts,3-5 hours
ahall45,Trevor Williams,4,Art,Environmental Studies,Arts,5-10 hours
pcohe74,Mary Buchanan,1,Chemistry,Neuroscience,Social,10+ hours
dhern69,Diana Guerra,2,Communications,Neuroscience,Academic,3-5 hours
jscot33,Joseph Carter,1,Communications,Business,Professional,3-5 hours
kandr70,Lisa Berger,1,Economics,Theatre,Social,1-3 hours
bdelg87,Leah Wolfe,2,Physics,Statistics,Professional,3-5 hours
lbrow58,Tracy Beard,2,Engineering,Anthropology,Technical,10+ hours
dross91,James Smith,1,Biology,Women's Studies,Arts,3-5 hours
rduar14,Kevin Gay,3,English,Environmental Studies,Arts,1-3 hours
jruss19,Fred Hale,4,Physics,Women's Studies,Academic,3-5 hours
cmyer42,Carla Jordan,2,Biology,Environmental Studies,Professional,3-5 hours
kdean42,Alexis Johnston,3,Psychology,Philosophy,Technical,1-3 hours
kwalk25,Thomas Burns,4,Business,Spanish,Technical,10+ hours
broge85,Jeremy Davis,1,Political Science,Philosophy,Professional,1-3 hours
gkirb81,Joshua Robertson,1,Chemistry,Statistics,Social,5-10 hours
chall79,Debra Walton,3,Physics,Art History,Academic,10+ hours
sgood21,Juan Brewer,2,Chemistry,Business,Academic,1-3 hours
ddavi31,Maria Kim,4,English,Environmental Studies,Cultural,5-10 hours
fmerc34,Harold Barrera,2,Communications,Data Science,Cultural,5-10 hours
kolso66,Erica Wells,3,Business,Anthropology,Technical,3-5 hours
jkenn60,Justin Jackson,3,Business,Music,Arts,5-10 hours
smatt92,Donald Griffin,1,Art,Philosophy,Academic,10+ hours
hwhit41,Gregory Wright,1,History,Statistics,Academic,10+ hours
mcart55,Rachel Goodman,3,Art,Anthropology,Social,5-10 hours
csimm39,James Lindsey,4,Political Science,Linguistics,Media,10+ hours
rpete16,Edward Blackburn,2,Physics,Anthropology,Media,10+ hours
jmatt18,Jacob Terry,2,Mathematics,Environmental Studies,Cultural,1-3 hours
awils96,Jerry Rios,4,English,Business,Cultural,1-3 hours
mpars75,Tammy Warren,4,Art,Linguistics,Academic,5-10 hours
jswee49,Steven Hunt,4,Psychology,Music,Media,5-10 hours
ssant80,Timothy Fields,2,Communications,Women's Studies,Social,5-10 hours
cjohn58,Philip Wood,2,Music,Linguistics,Cultural,5-10 hours
twarn9,Richard Torres,2,Psychology,Environmental Studies,Arts,10+ hours
ssant4,Julie Wagner,4,History,Philosophy,Professional,5-10 hours
bbrow85,James Lee,3,Engineering,Spanish,Social,5-10 hours
cjime99,Jennifer Christensen,3,English,Music,Cultural,5-10 hours
dwats48,Joseph Galloway,3,Business,Music,Technical,1-3 hours
khaye94,Corey Johnson,4,Engineering,Environmental Studies,Academic,3-5 hours
llope39,Jessica Fuentes,4,Psychology,Data Science,Social,10+ hours
mjohn9,Tara Hicks,4,Art,Theatre,Media,3-5 hours
rengl89,Kristin Dunn,2,Art,Anthropology,Cultural,3-5 hours
mspen82,Amanda Rodriguez,4,Art,Anthropology,Media,10+ hours
jadam72,Stephen Bush,4,Economics,Art History,Academic,3-5 hours
jfred76,Heather Wagner,1,Physics,Women's Studies,Academic,5-10 hours
jgarc54,Lisa Khan,1,Political Science,Spanish,Social,1-3 hours
lrowl24,Kathleen Clayton,1,History,Neuroscience,Arts,10+ hours
eguer71,Thomas Myers,1,Mathematics,Linguistics,Professional,10+ hours
kmoor99,Steve Maldonado,1,Political Science,Theatre,Cultural,5-10 hours
smora5,Charlotte Ramsey,1,Computer Science,Women's Studies,Technical,5-10 hours
jzimm49,James Bishop,3,Mathematics,Women's Studies,Technical,10+ hours
dperr36,Ray Savage,4,Political Science,Neuroscience,Cultural,1-3 hours
asand38,Margaret Cox,4,Political Science,Philosophy,Cultural,10+ hours
abrow90,Jason Wilcox,4,Economics,Journalism,Media,10+ hours
khill62,Matthew Boyd,2,Engineering,Sociology,Media,10+ hours
mwils27,Christopher Jimenez,4,Art,Environmental Studies,Academic,5-10 hours
amcke2,Patrick Ibarra PhD,2,English,Spanish,Arts,10+ hours
cjohn53,Jeffrey Pierce,3,English,Philosophy,Cultural,5-10 hours
nmora95,Christine Greene,4,Psychology,Neuroscience,Media,1-3 hours
ajone82,Chase Reynolds,3,History,Linguistics,Media,3-5 hours
pmurp25,Richard Kennedy,4,Engineering,Music,Academic,1-3 hours
hwhee39,Nicole Henderson,3,Physics,Environmental Studies,Arts,5-10 hours
jsmit86,Kelly Burke,4,Music,Anthropology,Media,5-10 hours
pbens51,Kelly White,1,Political Science,Environmental Studies,Cultural,1-3 hours
sblan10,Allison Jennings,4,Music,Neuroscience,Professional,5-10 hours
dgeor8,Eric Wheeler,2,Music,Art History,Cultural,5-10 hours
aprin50,Candace Bryant,2,Biology,Music,Media,3-5 hours
vhall73,Gary Griffin,3,Art,Music,Social,10+ hours
dmyer45,Yesenia Robinson,2,Physics,Journalism,Technical,3-5 hours
djenk9,Julian Arroyo,4,Psychology,Sociology,Arts,10+ hours
ksmit75,Angela Rivas,1,History,Women's Studies,Media,5-10 hours
mriva8,Mitchell Wood,2,Engineering,Journalism,Academic,5-10 hours
rheat60,Denise Hogan,2,English,Anthropology,Professional,5-10 hours
ksawy77,Russell Roach,2,Mathematics,Anthropology,Arts,5-10 hours
kruss69,Jessica Harmon,4,Psychology,Business,Cultural,3-5 hours
gcamp14,Gary Hunter,4,English,Spanish,Media,10+ hours
cmidd31,Barbara Brown,3,Communications,Spanish,Media,1-3 hours
fgonz89,Amanda Davis DVM,1,History,Data Science,Social,10+ hours
sthom45,Sarah Schmidt,1,Art,Business,Cultural,3-5 hours
arobi73,Alexa Phillips,3,Music,Anthropology,Social,5-10 hours
zponc77,Rodney Davis DVM,1,Psychology,Neuroscience,Arts,3-5 hours
kcoll40,Tiffany Golden,1,History,Sociology,Academic,3-5 hours
kwhit4,Renee Trevino,4,Business,Theatre,Academic,3-5 hours
dibar46,Charles Valenzuela,1,Psychology,Linguistics,Social,1-3 hours
cscot47,Nicole Pierce,1,Engineering,Data Science,Technical,3-5 hours
swise3,Cassandra Bridges,4,Communications,Linguistics,Professional,1-3 hours
cgarr56,Samantha Brown,2,Business,Statistics,Cultural,10+ hours
jcoll76,Karen Lopez,4,English,Data Science,Arts,10+ hours
jshep7,Brandon Chapman,4,Engineering,Linguistics,Professional,3-5 hours
twarr49,Kathy Lopez,3,Psychology,Anthropology,Academic,5-10 hours
jhick39,James Silva,2,Economics,Anthropology,Academic,5-10 hours
ccruz4,Jeanette Page,2,Physics,Journalism,Academic,1-3 hours
anels85,Ashley Garrett,1,Mathematics,Sociology,Cultural,1-3 hours
jgarc44,Jordan Alexander,1,English,Philosophy,Media,1-3 hours
acarl81,Jake Lane,2,Chemistry,Theatre,Social,1-3 hours
amill23,Eric Fletcher,3,Business,Environmental Studies,Arts,5-10 hours
kgome2,Brittany Chandler,3,Art,Theatre,Academic,1-3 hours
arami97,Harold Diaz,1,Political Science,Journalism,Technical,5-10 hours
ktran16,Rodney Gray,3,History,Theatre,Technical,1-3 hours
dblac85,Rodney Simmons,2,Communications,Spanish,Media,10+ hours
ljeff61,Clarence Luna,3,Political Science,Anthropology,Academic,3-5 hours
jlars96,Justin Tran,2,Engineering,Theatre,Cultural,5-10 hours
cchan13,Brandon Petersen,1,Biology,Linguistics,Academic,5-10 hours
dgood86,Lisa Maldonado,1,Chemistry,Environmental Studies,Technical,5-10 hours
rboye1,Cassandra Hurst,2,History,Music,Social,1-3 hours
mhill79,Bonnie Cook,1,English,Music,Media,10+ hours
nspar59,Brian Washington,2,Art,Journalism,Professional,5-10 hours
amurp78,Jeffery Fuller,4,Political Science,Linguistics,Media,10+ hours
jevan94,Melanie Anderson,1,Art,Data Science,Cultural,5-10 hours
dconn38,Mary Branch,4,Economics,Environmental Studies,Social,10+ hours
dbrya16,Christopher Rivera,4,History,Environmental Studies,Media,1-3 hours
rmedi95,Jonathan Gardner,1,English,Neuroscience,Social,10+ hours
abrow96,Kim Washington,3,Economics,Women's Studies,Professional,10+ hours
ehall79,Audrey Mcintyre,4,Mathematics,Music,Professional,5-10 hours
jjohn18,Lori Jones,1,Computer Science,Sociology,Technical,10+ hours
gwill41,Darrell Griffin,4,Computer Science,Neuroscience,Academic,1-3 hours
cwill53,Shelby Adkins,2,Computer Science,Philosophy,Social,10+ hours
jdrak78,Kelly Mills,4,English,Environmental Studies,Social,5-10 hours
lwood17,Stephanie Roberts,3,Political Science,Statistics,Cultural,1-3 hours
jland22,Robin Goodman,2,Music,Spanish,Media,1-3 hours
jthom34,Lucas Pittman,1,Communications,Journalism,Cultural,3-5 hours
dnels43,Kristin Wilson,3,Economics,Sociology,Professional,3-5 hours
cblak9,Kyle Snyder,3,Business,Music,Media,10+ hours
bhobb80,Jennifer Hunter,2,Communications,Music,Cultural,10+ hours
mmcin98,Monique Miranda,2,Biology,Music,Academic,10+ hours
pschu2,Travis Quinn,2,Art,Data Science,Cultural,3-5 hours
ajohn9,Riley Parker,3,Physics,Anthropology,Technical,3-5 hours
